pasada	fecha inicio			fecha fin				esquema		habilitado		nombre
14		2020-01-10 00:00:00		2020-01-20 23:59:59			22		true			city0
14		2020-01-10 00:00:00		2020-01-20 23:59:59			24		false			Fraga
14		2020-01-10 00:00:00		2020-01-20 23:59:59			26		false			Indio manso
14		2020-01-10 00:00:00		2020-01-20 23:59:59			28		false			La Chola
14		2020-01-10 00:00:00		2020-01-20 23:59:59			29		false			La Cocha
14		2020-01-10 00:00:00		2020-01-20 23:59:59			31		false			la_reserva1
14		2020-01-10 00:00:00		2020-01-20 23:59:59			32		false			LaTropilla
14		2020-01-10 00:00:00		2020-01-20 23:59:59			33		false			Las700
14		2020-01-10 00:00:00		2020-01-20 23:59:59			34		false			LasHortensias
14		2020-01-10 00:00:00		2020-01-20 23:59:59			35		false			Maria Angela
14		2020-01-10 00:00:00		2020-01-20 23:59:59			39		false			Robledo
14		2020-01-10 00:00:00		2020-01-20 23:59:59			40		false			San Carlos
14		2020-01-10 00:00:00		2020-01-20 23:59:59			41		false			san_esteban
14		2020-01-10 00:00:00		2020-01-20 23:59:59			42		false			Santa Romana
14		2020-01-10 00:00:00		2020-01-20 23:59:59			44		false			victoria 5
14		2020-01-10 00:00:00		2020-01-20 23:59:59			45		true			water
14		2020-01-10 00:00:00		2020-01-20 23:59:59			46		false			william_lote1
14		2020-01-10 00:00:00		2020-01-20 23:59:59			47		false			Williams Lote 1
14		2020-01-10 00:00:00		2020-01-20 23:59:59			48		false			Williams Lote 2
14		2020-01-10 00:00:00		2020-01-20 23:59:59			49		false			Williams Lote 3
15		2020-02-10 00:00:00		2020-02-20 23:59:59			22		true			city0
15		2020-02-10 00:00:00		2020-02-20 23:59:59			24		false			Fraga
15		2020-02-10 00:00:00		2020-02-20 23:59:59			26		false			Indio manso
15		2020-02-10 00:00:00		2020-02-20 23:59:59			28		false			La Chola
15		2020-02-10 00:00:00		2020-02-20 23:59:59			29		false			La Cocha
15		2020-02-10 00:00:00		2020-02-20 23:59:59			31		false			la_reserva1
15		2020-02-10 00:00:00		2020-02-20 23:59:59			32		false			LaTropilla
15		2020-02-10 00:00:00		2020-02-20 23:59:59			33		false			Las700
15		2020-02-10 00:00:00		2020-02-20 23:59:59			34		false			LasHortensias
15		2020-02-10 00:00:00		2020-02-20 23:59:59			35		false			Maria Angela
15		2020-02-10 00:00:00		2020-02-20 23:59:59			39		false			Robledo
15		2020-02-10 00:00:00		2020-02-20 23:59:59			40		false			San Carlos
15		2020-02-10 00:00:00		2020-02-20 23:59:59			41		false			san_esteban
15		2020-02-10 00:00:00		2020-02-20 23:59:59			42		false			Santa Romana
15		2020-02-10 00:00:00		2020-02-20 23:59:59			44		false			victoria 5
15		2020-02-10 00:00:00		2020-02-20 23:59:59			45		true			water
15		2020-02-10 00:00:00		2020-02-20 23:59:59			46		false			william_lote1
15		2020-02-10 00:00:00		2020-02-20 23:59:59			47		false			Williams Lote 1
15		2020-02-10 00:00:00		2020-02-20 23:59:59			48		false			Williams Lote 2
15		2020-02-10 00:00:00		2020-02-20 23:59:59			49		false			Williams Lote 3
17		2020-03-10 00:00:00		2020-03-20 23:59:59			22		true			city0
17		2020-03-10 00:00:00		2020-03-20 23:59:59			24		false			Fraga
17		2020-03-10 00:00:00		2020-03-20 23:59:59			26		false			Indio manso
17		2020-03-10 00:00:00		2020-03-20 23:59:59			28		false			La Chola
17		2020-03-10 00:00:00		2020-03-20 23:59:59			29		false			La Cocha
17		2020-03-10 00:00:00		2020-03-20 23:59:59			31		false			la_reserva1
17		2020-03-10 00:00:00		2020-03-20 23:59:59			32		false			LaTropilla
17		2020-03-10 00:00:00		2020-03-20 23:59:59			33		false			Las700
17		2020-03-10 00:00:00		2020-03-20 23:59:59			34		false			LasHortensias
17		2020-03-10 00:00:00		2020-03-20 23:59:59			35		false			Maria Angela
17		2020-03-10 00:00:00		2020-03-20 23:59:59			39		false			Robledo
17		2020-03-10 00:00:00		2020-03-20 23:59:59			40		false			San Carlos
17		2020-03-10 00:00:00		2020-03-20 23:59:59			41		false			san_esteban
17		2020-03-10 00:00:00		2020-03-20 23:59:59			42		false			Santa Romana
17		2020-03-10 00:00:00		2020-03-20 23:59:59			44		false			victoria 5
17		2020-03-10 00:00:00		2020-03-20 23:59:59			45		true			water
17		2020-03-10 00:00:00		2020-03-20 23:59:59			46		false			william_lote1
17		2020-03-10 00:00:00		2020-03-20 23:59:59			47		false			Williams Lote 1
17		2020-03-10 00:00:00		2020-03-20 23:59:59			48		false			Williams Lote 2
17		2020-03-10 00:00:00		2020-03-20 23:59:59			49		false			Williams Lote 3
